"year","ctol","se"
"2004","2004",0.19191115718532,0.0159360428316277
"2006","2006",0.211710135197296,0.0127618114658975
"2008","2008",0.180753571893911,0.0162804462805762
"2010","2010",0.15578391840601,0.0131057644041051
"2012","2012",0.194964028776978,0.0124782190464707
"2014","2014",0.135922330097087,0.0139089602279949
"2016","2016",0.271831910702561,0.0121396445154892
"2019","2019",0.25380039656312,0.0129580513880648
"year","unem2_4a","se"
"2004","2004",0,0
"2006","2006",0,0
"2008","2008",0.0780790171976183,0.00790436830122714
"2010","2010",0.0862609108846666,0.00886456512564976
"2012","2012",0.0844504021447721,0.00847155885832528
"2014","2014",0.100607697501688,0.0104410129917802
"2016","2016",0.228868660598179,0.0120251579146913
"2019","2019",0.194771241830065,0.0117337559774836
"year","pres_conf_dic","se"
"2004","2004",0,0
"2006","2006",0,0
"2008","2008",0.516153077262764,0.0178540824402699
"2010","2010",0.524382762321948,0.0135919626207674
"2012","2012",0.618951612903226,0.0173134973715461
"2014","2014",0.690074274139095,0.0176904238121948
"2016","2016",0.496402877697842,0.0149321618293289
"2019","2019",0.31201044386423,0.0128262775431949
"year","pres_aprov_dic","se"
"2004","2004",0.133651510573543,0.00893276936728881
"2006","2006",0.0954062663374644,0.00800579531538527
"2008","2008",0.508315940143843,0.0181717819760277
"2010","2010",0.476383551115411,0.0144329664078257
"2012","2012",0.640750670241287,0.0158496726563291
"2014","2014",0.702629804450438,0.0157168067179945
"2016","2016",0.554098360655738,0.0142531934533739
"2019","2019",0.302233902759527,0.0140912260658908
"year","pol_groupCenter","pol_groupLeft","pol_groupNone","pol_groupRight","se.pol_groupCenter","se.pol_groupLeft","se.pol_groupNone","se.pol_groupRight"
"2004","2004",0.457319248026463,0.130232232354282,0.29260576035988,0.119842759259375,0.0175240443454639,0.0140807837467616,0.0186947023891988,0.0100328699823313
"2006","2006",0.426166352864358,0.0975537750871387,0.330891668544865,0.145388203503638,0.0162897227288232,0.00802281177023784,0.0162107940289391,0.00932358284137624
"2008","2008",0.382316517407564,0.149403875790287,0.339888809856892,0.128390796945257,0.0198580741629096,0.0119173118440153,0.0220372604062271,0.00991115741960621
"2010","2010",0.435445844140453,0.132723124750067,0.296007718426187,0.135823312683293,0.0136828447656819,0.00867593068256826,0.0176410207044683,0.0113314848304582
"2012","2012",0.463333333333333,0.172666666666667,0.214666666666667,0.149333333333333,0.0171696231603867,0.0110704723817483,0.0194374048438686,0.01212585579272
"2014","2014",0.425789120214909,0.22229684351914,0.214909335124244,0.137004701141706,0.0191900827993685,0.0124565147344878,0.0210968386996294,0.0116042253594097
"2016","2016",0.456957928802589,0.224595469255663,0.0867313915857605,0.231715210355987,0.0148978793416242,0.0123696435465082,0.00737210874664936,0.0115095317757676
"2019","2019",0.527071102413568,0.182648401826484,0.0684931506849315,0.221787345075016,0.0141247460520093,0.00993060004917861,0.00722601736260808,0.0111166304789336
"year","econ_sitSame or Better","econ_sitWorse","se.econ_sitSame or Better","se.econ_sitWorse"
"2004","2004",0.60357197687201,0.39642802312799,0.0133004335586244,0.0133004335586244
"2006","2006",0.712099401036046,0.287900598963954,0.0135834085346121,0.0135834085346121
"2008","2008",0.719089097683363,0.280910902316637,0.0156511936144712,0.0156511936144712
"2010","2010",0.762761930170458,0.237238069829542,0.0106696273005224,0.0106696273005224
"2012","2012",0.794335805799056,0.205664194200944,0.0134854894206177,0.0134854894206177
"2014","2014",0.770734996628456,0.229265003371544,0.01258683143705,0.01258683143705
"2016","2016",0.482375979112272,0.517624020887729,0.0144964621667846,0.0144964621667846
"2019","2019",0.510791366906475,0.489208633093525,0.0162934526433655,0.0162934526433655
"year","gndrMan","gndrWoman","se.gndrMan","se.gndrWoman"
"2004","2004",0.489990452463163,0.510009547536837,0.0102760096475976,0.0102760096475976
"2006","2006",0.489990505365451,0.510009494634549,0.00949550873633423,0.00949550873633423
"2008","2008",0.489990685407889,0.510009314592111,0.00383577479007216,0.00383577479007216
"2010","2010",0.489945359549196,0.510054640450804,0.00619625942941112,0.00619625942941112
"2012","2012",0.499333333333333,0.500666666666667,0.00205871990639447,0.00205871990639447
"2014","2014",0.496306245802552,0.503693754197448,0.00337003733983786,0.00337003733983786
"2016","2016",0.497087378640777,0.502912621359223,0.00300724678127105,0.00300724678127105
"2019","2019",0.498687664041995,0.501312335958005,0.00184885968248527,0.00184885968248527
"year","age","se"
"2004","2004",39.6794020322163,0.404126138295268
"2006","2006",38.5604516357252,0.364434650278549
"2008","2008",38.3719074219909,0.27977387031698
"2010","2010",39.409317618574,0.244475407153501
"2012","2012",39.0013386880857,0.194451395057081
"2014","2014",39.4095494283793,0.170890075293808
"2016","2016",38.6409090909091,0.223883487491549
"2019","2019",38.1646981627297,0.211058072268217
"year","pint_dic","se"
"2004","2004",0,0
"2006","2006",0.137354040478003,0.00936736514806158
"2008","2008",0.190824421513589,0.0105913723451985
"2010","2010",0.251929574998544,0.0114427563013624
"2012","2012",0.269798657718121,0.014335706841123
"2014","2014",0.334454912516824,0.0163222255028493
"2016","2016",0.329442282749676,0.0134929115149477
"2019","2019",0.316993464052288,0.0130644442117675
"year","ed","se"
"2004","2004",10.2057762580718,0.166045379078793
"2006","2006",10.5708571830043,0.126517767646133
"2008","2008",10.4756245005866,0.156178145081974
"2010","2010",10.5030776320714,0.142133002216159
"2012","2012",10.489534098582,0.171242833355947
"2014","2014",10.6743398781313,0.152468617588395
"2016","2016",11.4283819628647,0.144415962195367
"2019","2019",11.4692005242464,0.132542809442864
"year","urRural","urUrban","se.urRural","se.urUrban"
"2004","2004",0.253791613515604,0.746208386484396,0.0355377510168585,0.0355377510168585
"2006","2006",0.254188816859995,0.745811183140005,0.0152393719588426,0.0152393719588426
